Unnamed: 0,open,high,low,close,volume,RSI,MACD,Signal
2024-12-11 19:59:00,246.39,246.48,246.37,246.38,713,,0.0,0.0
2024-12-11 19:58:00,246.41,246.41,246.36,246.39,104,100.0,0.000797720797720558,0.0001595441595441116
2024-12-11 19:57:00,246.41,246.41,246.36,246.385,297,66.66666666666666,0.0010147644906055575,0.0003305882257564008
2024-12-11 19:56:00,246.4001,246.41,246.4,246.4099,233,87.46867167920585,0.003159573486499312,0.0008963852779049831
2024-12-11 19:55:00,246.405,246.41,246.4,246.4002,192,70.36290322583591,0.0040301836857281614,0.001523144959469619
2024-12-11 19:54:00,246.41,246.42,246.4,246.41,49,75.2525252525458,0.005448124056272263,0.002308140778830148
2024-12-11 19:53:00,246.36,246.42,246.36,246.41,33,75.2525252525458,0.006496959115168011,0.003145904446097721
2024-12-11 19:52:00,246.37,246.48,246.36,246.37,351,44.969818913482726,0.004053773373641434,0.003327478231606464
2024-12-11 19:51:00,246.38,246.4,246.36,246.38,423,50.0,0.0028911204607595664,0.0032402066774370845
2024-12-11 19:50:00,246.4,246.4,246.38,246.3998,133,57.66253869969532,0.0035267499967517324,0.0032975153413000143
2024-12-11 19:49:00,246.38,246.4,246.37,246.38,255,50.0,0.002405072282783749,0.0031190267295967615
2024-12-11 19:48:00,246.36,246.4,246.36,246.385,222,51.62337662337578,0.0018977171247342994,0.0028747648086242692
2024-12-11 19:47:00,246.42,246.42,246.36,246.37,701,47.04142011834459,0.0002820090422233079,0.002356213655344077
2024-12-11 19:46:00,246.36,246.47,246.36,246.39,76,52.64550264550153,0.0006083687036095853,0.002006644664997179
2024-12-11 19:45:00,246.39,246.42,246.36,246.36,1749,45.43378995433957,-0.0015360317748331909,0.001298109377031105
2024-12-11 19:44:00,246.36,246.4676,246.36,246.36,1640,42.822966507179764,-0.0031986129841641286,0.00039876490479205824
2024-12-11 19:43:00,246.42,246.47,246.26,246.35,840,41.82242990653954,-0.005262474467457423,-0.0007334829696578381
2024-12-11 19:42:00,246.41,246.47,246.36,246.415,50,51.00354191263293,-0.0016343035558463725,-0.0009136470868955451
2024-12-11 19:41:00,246.36,246.47,246.36,246.415,41,53.027823240585946,0.0012269050336612963,-0.00048553666278417683
2024-12-11 19:40:00,246.42,246.47,246.36,246.47,161,60.35911602210162,0.007842075238727375,0.0011799857175181336
2024-12-11 19:39:00,246.36,246.47,246.36,246.415,367,50.725478816018,0.00854806813171649,0.002653602200357805
2024-12-11 19:38:00,246.39,246.48,246.36,246.37,345,50.0,0.0054140389950987355,0.0032056895593059916
2024-12-11 19:37:00,246.435,246.48,246.41,246.48,124,61.12099644128182,0.011671833386685648,0.004898918324781923
2024-12-11 19:36:00,246.435,246.48,246.39,246.435,57,53.706823925864406,0.012851907814422248,0.006489516222709988
2024-12-11 19:35:00,246.44,246.48,246.39,246.435,174,56.043956043957756,0.013630007063341054,0.007917614390836202
2024-12-11 19:34:00,246.49,246.49,246.43,246.44,21,56.043956043957756,0.014483161665054922,0.009230723845679946
2024-12-11 19:33:00,246.425,246.49,246.36,246.49,291,62.24489795918532,0.018975141348278157,0.01117960734619959
2024-12-11 19:32:00,246.37,246.49,246.36,246.49,330,60.638297872343514,0.022278257722916806,0.013399337421543034
2024-12-11 19:31:00,246.37,246.49,246.36,246.425,535,56.43564356435627,0.019427100948377074,0.014604890126909843
2024-12-11 19:30:00,246.4,246.49,246.36,246.38,379,51.81818181818013,0.013382153607068403,0.014360342822941555
2024-12-11 19:29:00,246.49,246.49,246.38,246.38,32,52.77777777777793,0.008493580577777493,0.013186990373908743
